"","Month","Volume"
"203",2496,8.5947
"204",2526,9.2094
"205",2557,9.4275
"206",2588,8.436
"207",2616,9.3907
"208",2647,8.5975
"209",2677,8.4672
"210",2708,7.6287
"211",2738,7.4927
"212",2769,7.7193
"213",2800,7.8751
"214",2830,8.4757
"215",2861,9.0111
"216",2891,9.9147
"217",2922,9.8836
"218",2953,8.5493
"219",2981,8.9176
"220",3012,8.2066
"221",3042,7.6315
"222",3073,6.9885
"223",3103,7.3794
"224",3134,7.5154
"225",3165,7.2094
"226",3195,8.1301
"227",3226,9.1414
"228",3256,10.079
"229",3287,10.3861
"230",3318,9.2797
"231",3346,9.3695
"232",3377,9.0704
"233",3407,8.4779
"234",3438,7.8664
"235",3468,7.9503
"236",3499,7.7068
"237",3530,7.2012
"238",3560,8.8276
"239",3591,9.2797
"240",3621,10.1472
"241",3652,10.4667
"242",3683,8.8772
"243",3712,9.28
"244",3743,7.7422
"245",3773,7.634
"246",3804,6.8241
"247",3834,6.96
"248",3865,7.0926
"249",3896,6.8148
"250",3926,8.0561
"251",3957,8.9385
"252",3987,10.0549
"253",4018,9.7207
"254",4049,8.834
"255",4077,8.8871
"256",4108,8.0279
"257",4138,7.309
"258",4169,7.0312
"259",4199,7.1871
"260",4230,6.944
"261",4261,7.0846
"262",4291,8.2945
"263",4322,8.6364
"264",4352,9.8766
"265",4383,10.5737
"266",4414,9.1005
"267",4442,9.1274
"268",4473,8.1889
"269",4503,7.3363
"270",4534,6.9345
"271",4564,6.8699
"272",4595,6.8529
"273",4626,6.8667
"274",4656,7.9197
"275",4687,9.0446
"276",4717,9.9246
"277",4748,9.8926
"278",4779,8.5378
"279",4807,8.4436
"280",4838,7.6013
"281",4868,6.9464
"282",4899,6.4744
"283",4929,6.5638
"284",4960,6.5996
"285",4991,7.0979
"286",5021,7.8357
"287",5052,8.7917
"288",5082,10.7124
"289",5113,10.5179
"290",5144,8.62
"291",5173,8.9368
"292",5204,7.9969
"293",5234,7.692
"294",5265,6.953
"295",5295,7.2329
"296",5326,7.2987
"297",5357,7.3991
"298",5387,8.5917
"299",5418,9.7111
"300",5448,10.7278
"301",5479,10.8878
"302",5510,10.109
"303",5538,10.0308
"304",5569,8.7854
"305",5599,8.1684
"306",5630,7.4509
"307",5660,7.3972
"308",5691,7.46
"309",5722,7.9639
"310",5752,8.9585
"311",5783,10.1481
"312",5813,11.3796
"313",5844,11.0386
"314",5875,9.7654
"315",5903,9.3167
"316",5934,8.1464
"317",5964,7.8331
"318",5995,7.3008
"319",6025,7.4569
"320",6056,7.4211
"321",6087,7.7622
"322",6117,9.048
"323",6148,9.9553
"324",6178,10.7079
"325",6209,10.8455
"326",6240,9.3094
"327",6268,10.102
"328",6299,8.9196
"329",6329,8.315
"330",6360,7.4219
"331",6390,7.9237
"332",6421,8.6236
"333",6452,8.5844
"334",6482,10.3569
"335",6513,11.0081
"336",6543,12.1456
"337",6574,12.6596
"338",6605,11.4703
"339",6634,11.32
"340",6665,10.2638
"341",6695,9.7286
"342",6726,8.9138
"343",6756,9.8172
"344",6787,9.9253
"345",6818,9.8777
"346",6848,10.867
"347",6879,11.5952
"348",6909,12.4078
"349",6940,12.3457
"350",6971,11.5028
"351",6999,12.1695
"352",7030,11.2916
"353",7060,10.5054
"354",7091,9.854
"355",7121,10.4084
"356",7152,10.3725
"357",7183,10.4122
"358",7213,11.3239
"359",7244,11.6377
"360",7274,12.908
"361",7305,12.508
"362",7336,11.1611
"363",7364,11.5871
"364",7395,11.1003
"365",7425,10.9631
"366",7456,10.1271
"367",7486,10.5513
"368",7517,10.4668
"369",7548,10.271
"370",7578,11.992
"371",7609,12.135
"372",7639,13.4248
"373",7670,13.25
"374",7701,11.341
"375",7729,12.4856
"376",7760,11.9009
"377",7790,11.3834
"378",7821,10.8104
"379",7851,10.6474
"380",7882,10.5999
"381",7913,10.7973
"382",7943,12.4401
"383",7974,12.9722
"384",8004,13.8099
"385",8035,13.2705
"386",8066,12.7163
"387",8095,13.1994
"388",8126,12.7235
"389",8156,12.5501
"390",8187,11.5166
"391",8217,12.1364
"392",8248,12.6521
"393",8279,12.3929
"394",8309,13.382
"395",8340,14.0785
"396",8370,14.7586
"397",8401,14.3785
"398",8432,13.3347
"399",8460,14.7308
"400",8491,14.2616
"401",8521,13.2363
"402",8552,13.0995
"403",8582,14.0387
"404",8613,13.9153
"405",8644,13.4265
"406",8674,14.4461
"407",8705,14.5121
"408",8735,15.2108
"409",8766,15.8034
"410",8797,14.1257
"411",8825,15.3173
"412",8856,14.7663
"413",8886,14.7614
"414",8917,14.3623
"415",8947,14.8726
"416",8978,15.1548
"417",9009,14.3091
"418",9039,15.4411
"419",9070,15.7134
"420",9100,16.4601
"421",9131,16.7395
"422",9162,14.7929
"423",9190,16.5547
"424",9221,15.922
"425",9251,15.6568
"426",9282,15.0057
"427",9312,15.3499
"428",9343,15.5324
"429",9374,15.0938
"430",9404,16.2678
"431",9435,16.1945
"432",9465,16.9076
"433",9496,17.1467
"434",9527,15.6931
"435",9556,16.7081
"436",9587,16.0887
"437",9617,16.4114
"438",9648,15.367
"439",9678,16.1433
"440",9709,16.0633
"441",9740,15.519
"442",9770,16.2804
"443",9801,16.2668
"444",9831,17.2538
"445",9862,17.2706
"446",9893,15.227
"447",9921,16.6409
"448",9952,16.6364
"449",9982,16.5376
"450",10013,15.5824
"451",10043,16.3594
"452",10074,16.352
"453",10105,16.3419
"454",10135,16.78
"455",10166,16.3885
"456",10196,17.3255
"457",10227,17.9166
"458",10258,15.8428
"459",10286,17.4344
"460",10317,16.7057
"461",10347,16.7056
"462",10378,15.7834
"463",10408,16.7918
"464",10439,16.7767
"465",10470,16.3921
"466",10500,17.1515
"467",10531,17.0122
"468",10561,17.8951
"469",10592,18.4914
"470",10623,16.2204
"471",10651,17.7152
"472",10682,17.2472
"473",10712,17.6876
"474",10743,16.241
"475",10773,17.5451
"476",10804,17.2933
"477",10835,16.7712
"478",10865,17.5667
"479",10896,17.3221
"480",10926,18.2621
"481",10957,18.5308
"482",10988,17.3892
"483",11017,18.0225
"484",11048,17.2604
"485",11078,17.8613
"486",11109,17.0309
"487",11139,17.6762
"488",11170,17.9805
"489",11201,17.2073
"490",11231,18.2651
"491",11262,18.3323
"492",11292,19.436
"493",11323,19.2651
"494",11354,17.479
"495",11382,18.6182
"496",11413,17.8869
"497",11443,18.5423
"498",11474,17.7207
"499",11504,18.5664
"500",11535,18.4185
"501",11566,17.4745
"502",11596,18.622
"503",11627,18.1237
"504",11657,18.7519
"505",11688,19.3208
"506",11719,17.2603
"507",11747,19.2879
"508",11778,18.2366
"509",11808,18.2397
"510",11839,17.5083
"511",11869,18.096
"512",11900,17.793
"513",11931,17.166
"514",11961,18.1118
"515",11992,18.1348
"516",12022,19.1301
"517",12053,19.235
"518",12084,17.2456
"519",12112,18.4135
"520",12143,17.4468
"521",12173,17.5597
"522",12204,16.8482
"523",12234,17.3844
"524",12265,17.5883
"525",12296,16.9053
"526",12326,17.792
"527",12357,17.72
"528",12387,19.144
"529",12418,19.2439
"530",12449,17.7823
"531",12478,18.3332
"532",12509,17.8475
"533",12539,18.0935
"534",12570,17.1657
"535",12600,17.8783
"536",12631,17.6412
"537",12662,16.9067
"538",12692,17.8268
"539",12723,17.8322
"540",12753,19.4526
"541",12784,19.5284
"542",12815,16.9441
