"","Quarter","Origin","Arrivals"
"98",12874,"Japan",135461
"99",12965,"Japan",176242
"100",13057,"Japan",180085
"101",13149,"Japan",189187
"102",13239,"Japan",128919
"103",13330,"Japan",163649
"104",13422,"Japan",169314
"105",13514,"Japan",165823
"106",13604,"Japan",111484
"107",13695,"Japan",149065
"108",13787,"Japan",146673
"109",13879,"Japan",136544
"110",13970,"Japan",88879
"111",14061,"Japan",121951
"112",14153,"Japan",109858
"113",14245,"Japan",106123
"114",14335,"Japan",65748
"115",14426,"Japan",88371
"116",14518,"Japan",95214
"117",14610,"Japan",109072
"118",14700,"Japan",71253
"119",14791,"Japan",117876
"120",14883,"Japan",99987
"121",14975,"Japan",92889
"122",15065,"Japan",53397
"123",15156,"Japan",96467
"124",15248,"Japan",89900
"125",15340,"Japan",98180
"126",15431,"Japan",59760
"127",15522,"Japan",101900
"128",4018,"NZ",49140
"129",4108,"NZ",87467
"130",4199,"NZ",85841
"131",4291,"NZ",61882
"132",4383,"NZ",42045
"133",4473,"NZ",63081
"134",4564,"NZ",73275
"135",4656,"NZ",54808
"136",4748,"NZ",41030
"137",4838,"NZ",56155
"138",4929,"NZ",69395
"139",5021,"NZ",58423
"140",5113,"NZ",37039
"141",5204,"NZ",71564
"142",5295,"NZ",71260
"143",5387,"NZ",54597
"144",5479,"NZ",41646
"145",5569,"NZ",63668
"146",5660,"NZ",67803
"147",5752,"NZ",72177
"148",5844,"NZ",55192
"149",5934,"NZ",89073
"150",6025,"NZ",97746
"151",6117,"NZ",94696
"152",6209,"NZ",71130
"153",6299,"NZ",111416
"154",6390,"NZ",127619
"155",6482,"NZ",117078
"156",6574,"NZ",90498
"157",6665,"NZ",135435
"158",6756,"NZ",176899
"159",6848,"NZ",131457
"160",6940,"NZ",83029
"161",7030,"NZ",111748
"162",7121,"NZ",128509
"163",7213,"NZ",126021
"164",7305,"NZ",75584
"165",7395,"NZ",109472
"166",7486,"NZ",122164
"167",7578,"NZ",111222
"168",7670,"NZ",90067
"169",7760,"NZ",114050
"170",7851,"NZ",152662
"171",7943,"NZ",123821
"172",8035,"NZ",75376
"173",8126,"NZ",107369
"174",8217,"NZ",128550
"175",8309,"NZ",136250
"176",8401,"NZ",90758
"177",8491,"NZ",124972
"178",8582,"NZ",153153
"179",8674,"NZ",130393
"180",8766,"NZ",90095
"181",8856,"NZ",113799
"182",8947,"NZ",148605
"183",9039,"NZ",127879
"184",9131,"NZ",95295
"185",9221,"NZ",130073
"186",9312,"NZ",166383
"187",9404,"NZ",146632
"188",9496,"NZ",132410
"189",9587,"NZ",166735
"190",9678,"NZ",205120
"191",9770,"NZ",167569
"192",9862,"NZ",142502
"193",9952,"NZ",160522
"194",10043,"NZ",205250
"195",10135,"NZ",177366
"196",10227,"NZ",128179
"197",10317,"NZ",184943
"198",10408,"NZ",212263
"199",10500,"NZ",183996
"200",10592,"NZ",143015
"201",10682,"NZ",179577
"202",10773,"NZ",215732
"203",10865,"NZ",190461
"204",10957,"NZ",154537
"205",11048,"NZ",212401
"206",11139,"NZ",229048
"207",11231,"NZ",221071
"208",11323,"NZ",162480
"209",11413,"NZ",215840
"210",11504,"NZ",233074
"211",11596,"NZ",203493
"212",11688,"NZ",159879
"213",11778,"NZ",191215
"214",11869,"NZ",226008
"215",11961,"NZ",213000
"216",12053,"NZ",150700
"217",12143,"NZ",203400
"218",12234,"NZ",241800
"219",12326,"NZ",243200
"220",12418,"NZ",188873
"221",12509,"NZ",252262
"222",12600,"NZ",312956
"223",12692,"NZ",278709
"224",12784,"NZ",219527
"225",12874,"NZ",270782
"226",12965,"NZ",325633
"227",13057,"NZ",282908
"228",13149,"NZ",212323
"229",13239,"NZ",269964
"230",13330,"NZ",307149
"231",13422,"NZ",286361
"232",13514,"NZ",219885
"233",13604,"NZ",301654
"234",13695,"NZ",320737
"235",13787,"NZ",295727
"236",13879,"NZ",222770
"237",13970,"NZ",282076
"238",14061,"NZ",304979
"239",14153,"NZ",303481
"240",14245,"NZ",221287
"241",14335,"NZ",275761
"242",14426,"NZ",311431
"243",14518,"NZ",301983
"244",14610,"NZ",228162
"245",14700,"NZ",281791
"246",14791,"NZ",330812
"247",14883,"NZ",320897
"248",14975,"NZ",239103
"249",15065,"NZ",292072
"250",15156,"NZ",311994
"251",15248,"NZ",329470
"252",15340,"NZ",247910
"253",15431,"NZ",301880
"254",15522,"NZ",319840
"255",4018,"UK",45266
"256",4108,"UK",19886
"257",4199,"UK",24839
"258",4291,"UK",52264
"259",4383,"UK",53636
"260",4473,"UK",34802
"261",4564,"UK",31126
"262",4656,"UK",53619
"263",4748,"UK",43423
"264",4838,"UK",23421
"265",4929,"UK",29142
"266",5021,"UK",51771
"267",5113,"UK",44182
"268",5204,"UK",24920
"269",5295,"UK",27566
"270",5387,"UK",48880
"271",5479,"UK",49563
"272",5569,"UK",23867
"273",5660,"UK",25895
"274",5752,"UK",54092
"275",5844,"UK",54903
"276",5934,"UK",26089
"277",6025,"UK",28248
"278",6117,"UK",66813
"279",6209,"UK",61167
"280",6299,"UK",32400
"281",6390,"UK",33287
"282",6482,"UK",72115
"283",6574,"UK",81925
"284",6665,"UK",42091
"285",6756,"UK",46253
"286",6848,"UK",90062
"287",6940,"UK",84191
"288",7030,"UK",48709
"289",7121,"UK",46905
"290",7213,"UK",93075
"291",7305,"UK",81185
"292",7395,"UK",53693
"293",7486,"UK",48037
"294",7578,"UK",94827
"295",7670,"UK",79365
"296",7760,"UK",52961
"297",7851,"UK",42366
"298",7943,"UK",89041
"299",8035,"UK",87850
"300",8126,"UK",57261
"301",8217,"UK",51058
"302",8309,"UK",93736
"303",8401,"UK",95137
"304",8491,"UK",55661
"305",8582,"UK",56400
"306",8674,"UK",103089
"307",8766,"UK",100250
"308",8856,"UK",57464
"309",8947,"UK",61831
"310",9039,"UK",115736
"311",9131,"UK",112684
"312",9221,"UK",64209
"313",9312,"UK",59287
"314",9404,"UK",111719
"315",9496,"UK",108173
"316",9587,"UK",64632
"317",9678,"UK",64742
"318",9770,"UK",129994
"319",9862,"UK",126261
"320",9952,"UK",65146
"321",10043,"UK",74071
"322",10135,"UK",145139
"323",10227,"UK",143115
"324",10317,"UK",82747
"325",10408,"UK",78303
"326",10500,"UK",163356
"327",10592,"UK",160239
"328",10682,"UK",81152
"329",10773,"UK",107941
"330",10865,"UK",179102
"331",10957,"UK",161953
"332",11048,"UK",105394
"333",11139,"UK",107231
"334",11231,"UK",205874
"335",11323,"UK",184901
"336",11413,"UK",107454
"337",11504,"UK",121889
"338",11596,"UK",202988
"339",11688,"UK",206655
"340",11778,"UK",95564
"341",11869,"UK",115950
"342",11961,"UK",224496
"343",12053,"UK",196276
"344",12143,"UK",107563
"345",12234,"UK",125171
"346",12326,"UK",243894
"347",12418,"UK",205423
"348",12509,"UK",111924
"349",12600,"UK",125132
"350",12692,"UK",233761
"351",12784,"UK",235242
"352",12874,"UK",105370
"353",12965,"UK",131141
"354",13057,"UK",237053
"355",13149,"UK",224933
"356",13239,"UK",116211
"357",13330,"UK",123808
"358",13422,"UK",269292
"359",13514,"UK",231686
"360",13604,"UK",108543
"361",13695,"UK",122734
"362",13787,"UK",226031
"363",13879,"UK",230109
"364",13970,"UK",107430
"365",14061,"UK",115758
"366",14153,"UK",218864
"367",14245,"UK",210109
"368",14335,"UK",113973
"369",14426,"UK",116517
"370",14518,"UK",223178
"371",14610,"UK",213568
"372",14700,"UK",99497
"373",14791,"UK",108208
"374",14883,"UK",225395
"375",14975,"UK",188560
"376",15065,"UK",110212
"377",15156,"UK",107089
"378",15248,"UK",202240
"379",15340,"UK",194640
"380",15431,"UK",92970
"381",15522,"UK",101690
"382",4018,"US",32316
"383",4108,"US",23721
"384",4199,"US",24533
"385",4291,"US",33438
"386",4383,"US",33527
"387",4473,"US",28366
"388",4564,"US",30856
"389",4656,"US",33293
"390",4748,"US",32472
"391",4838,"US",32369
"392",4929,"US",37476
"393",5021,"US",38112
"394",5113,"US",42553
"395",5204,"US",41277
"396",5295,"US",33056
"397",5387,"US",44472
"398",5479,"US",47792
"399",5569,"US",43070
"400",5660,"US",41116
"401",5752,"US",65428
"402",5844,"US",59377
"403",5934,"US",53283
"404",6025,"US",48510
"405",6117,"US",85878
"406",6209,"US",84130
"407",6299,"US",64346
"408",6390,"US",65976
"409",6482,"US",96165
"410",6574,"US",78609
"411",6665,"US",69306
"412",6756,"US",86267
"413",6848,"US",92738
"414",6940,"US",73321
"415",7030,"US",59819
"416",7121,"US",60868
"417",7213,"US",67761
"418",7305,"US",67637
"419",7395,"US",56153
"420",7486,"US",58783
"421",7578,"US",69018
"422",7670,"US",63235
"423",7760,"US",56691
"424",7851,"US",85473
"425",7943,"US",66332
"426",8035,"US",69861
"427",8126,"US",61501
"428",8217,"US",57869
"429",8309,"US",73632
"430",8401,"US",76323
"431",8491,"US",62718
"432",8582,"US",64730
"433",8674,"US",77495
"434",8766,"US",81428
"435",8856,"US",63554
"436",8947,"US",66505
"437",9039,"US",78190
"438",9131,"US",83047
"439",9221,"US",67448
"440",9312,"US",69234
"441",9404,"US",85160
"442",9496,"US",84995
"443",9587,"US",71005
"444",9678,"US",71412
"445",9770,"US",89483
"446",9862,"US",87405
"447",9952,"US",73061
"448",10043,"US",79986
"449",10135,"US",89141
"450",10227,"US",101167
"451",10317,"US",85384
"452",10408,"US",82586
"453",10500,"US",104760
"454",10592,"US",113860
"455",10682,"US",92494
"456",10773,"US",95001
"457",10865,"US",115704
"458",10957,"US",118840
"459",11048,"US",107313
"460",11139,"US",131833
"461",11231,"US",130100
"462",11323,"US",126702
"463",11413,"US",113471
"464",11504,"US",105239
"465",11596,"US",101058
"466",11688,"US",121127
"467",11778,"US",97016
"468",11869,"US",102261
"469",11961,"US",114103
"470",12053,"US",112908
"471",12143,"US",94212
"472",12234,"US",102961
"473",12326,"US",112039
"474",12418,"US",114017
"475",12509,"US",101065
"476",12600,"US",105884
"477",12692,"US",112335
"478",12784,"US",122725
"479",12874,"US",104542
"480",12965,"US",107725
"481",13057,"US",111286
"482",13149,"US",123608
"483",13239,"US",109865
"484",13330,"US",107787
"485",13422,"US",114824
"486",13514,"US",124677
"487",13604,"US",108089
"488",13695,"US",107738
"489",13787,"US",119189
"490",13879,"US",128066
"491",13970,"US",99471
"492",14061,"US",111243
"493",14153,"US",115636
"494",14245,"US",119158
"495",14335,"US",105507
"496",14426,"US",118979
"497",14518,"US",136094
"498",14610,"US",127535
"499",14700,"US",105974
"500",14791,"US",111615
"501",14883,"US",127002
"502",14975,"US",125264
"503",15065,"US",101814
"504",15156,"US",101925
"505",15248,"US",127150
"506",15340,"US",129520
"507",15431,"US",105700
"508",15522,"US",106540
